sol_wallet,eth_wallet,worm_balance,nema_balance
AZ2y5AWx2cNWcgsEKu2bZ8Rm9TxDQ3692LZa5a4gxguz,0x027Cc12c40c3Cb9C50ef5Ab420429d81feA03a7f,123456,120748
DVXRptbViWqLx3PsZxi1c4CQatHx6bDV7qEZmj6zcfpQ,0x47a4abe481b069c513428fbd347a78b9b58a6d3b,114182,111677
CMY8GehwkR8G6VKLAkbiEuxBfE7e96xag84Rw1N7B6xj,0x864b18b95556541c7af56ba9f42d9d6b57a059cc,115000,112477
AZHs96Spxi5um3sTCpM5QPvMibmMUk5ftpsuvAe3xVDR,0xC76D510Cf5d486FC2F4739e53cDa845Ea8633681,666008,651399
9zpNWqgAYDoQRf8aDwhCbpYgrWkMdyXgRwf8yEaJHW7q,0x00149443a521C62AF61CDC19c1BaAd8e6c9Ba10c,500000,489032
5eS8RWweti3yy3Q3hsLWgsQwptC55wkDWocaReWn3BT2,0x1402c412dB40f114e1fE9a4951231D044B9C9eFb,315572,308650
8JppwuECBvVW1APrMPJXSsavjkPfvtyo3rLsYzcaJBPu,0x695dfbb92adc643e55d17bc32fade0e385f722ca,50908,49791
CTKhws8pktAHjSwQQHCVmB56enUe3yyz1EnnvbmEL87s,0x49B94328630b80DEEa5357BE948B38C27dbaca80,98535,96374
5KJGPWk1yWSZc6b3BRnC6oVkvTGYWkgn5oQmYo3r3Wid,0x83893c8d6a30d954b464feacC3E9cb93A9755aE2,6426,6285
FoTbuKAX69pbimQ3SpqQHyotRukfWqthAikbn8nJrAU9,0x4Df5AA460598FC0Ef8E1646d22B5a940E1E2d44E,101035,98819
36bHMXLQcrT1g6VSVmB44ydDjqTyNSWo4BKxKXvj9EbP,0xb8dcdd844beccda0ccd902f20acffefaee785e16,24496,23959
6D7aEW7ToApChZEGgeRqwBFCkU1H7S1D8QHZYanpfPda,0x4A0c022536FFf43C4bE7eb4f8723a64c62526b09,818842,800880
GL1e3zXq5qdr24hGuPFVc1Zj4xbUHH9iQ2i4qee9RsAq,0x2daF9f3fCCa6f51ECDc6F5bE43D71db0FB367C7B,27451,26849
7Cas5EnvSp6U1wNgD5WjU6qBPBrbhZoWjVPXn6YQecN1,0x07FeECeb2b53Dd4FDB7572e8C8D321e9443762d2,5069241,4958043
HwVZqpQ1NHVSfDZrKseZqL9D8sYQCSuaCWuiZiGLAVAY,0x7C64855812366f753dD08Dca5487D5EC3aa4c28E,946962,926190
CPvPizGcLPQ3f3tY4WtgCYZUpLwmzuhAuL79ofhxJGtg,0xCd2cab465BC86FFB29f93D4088Ea566C731fEB71,1704097,1666716
25bnR1598d9JaDpGt7vb1VC9jbfhxybQWobRG2MTUdAs,0xCd2cab465BC86FFB29f93D4088Ea566C731fEB71,606668,593360
9sN8qFi13W3HsfihLgK8TEnZhiiuqJdYMReWtdKHeQsj,0xb01563b292657d3baa82a2d62efa7679765cb718,3991,3903
5YrkYVZ24kYYFSCPV7qmxGf4thcav1N9n5BL6b8tNwuJ,0x1245e97BA42027a29DbA3f14DD53d63E95f0BB8D,3717394,3635850
Bd6MmcqARpE31sB9c4SB9aVEwkqezGrxCp1rncyQbbM7,0x1245e97BA42027a29DbA3f14DD53d63E95f0BB8D,128214,125402
